Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
4/28/2022,54.0,23.9,37.46,73.44,0.25
4/29/2022,46.0,23.72,37.6,70.75,0.0
4/30/2022,51.0,23.94,36.97,69.12,2.45
5/1/2022,32.0,24.44,37.21,63.31,1.35
5/2/2022,25.0,24.3,35.64,71.19,5.62
5/3/2022,90.0,23.7,33.4,74.62,5.49
5/4/2022,49.0,23.65,31.55,80.31,14.53
5/5/2022,59.0,23.08,32.73,75.81,5.0
5/6/2022,53.0,22.56,35.96,69.69,4.51
5/7/2022,59.0,24.21,38.01,62.88,0.4
5/8/2022,66.0,23.41,38.05,65.25,2.85
5/9/2022,46.0,24.61,33.05,78.12,17.03
5/10/2022,48.0,24.04,30.36,86.5,27.58
5/11/2022,39.0,24.11,31.13,87.88,29.19
5/12/2022,41.0,25.31,32.75,83.81,9.85
5/13/2022,225.0,25.44,31.94,85.5,13.91
5/14/2022,51.0,25.83,33.55,82.88,7.29
5/15/2022,57.0,26.42,32.87,84.19,1.48
5/16/2022,72.0,26.51,30.63,89.19,2.39
5/17/2022,51.0,26.18,30.0,91.38,5.79
5/18/2022,37.0,24.96,31.2,85.12,10.58
5/19/2022,42.0,25.26,30.84,91.31,14.25
5/20/2022,51.0,25.65,30.27,89.25,27.66
5/21/2022,50.0,25.55,30.78,91.31,61.25
5/22/2022,40.0,25.4,35.38,80.56,20.07
5/23/2022,26.0,24.73,32.23,85.88,37.58
5/24/2022,24.0,23.83,33.57,81.81,16.33
5/25/2022,31.0,24.81,31.94,84.56,23.07
5/26/2022,15.0,24.69,32.12,85.31,16.78
5/27/2022,38.0,24.39,32.98,84.88,19.1
5/28/2022,29.0,23.88,33.36,83.44,15.4
5/29/2022,32.0,24.65,31.01,86.88,26.41
5/30/2022,46.0,24.43,30.12,86.62,23.79
5/31/2022,41.0,24.28,32.73,81.56,10.09
6/1/2022,27.0,24.85,31.27,86.5,12.18
6/2/2022,18.0,24.52,32.07,85.88,4.58
