Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
4/28/2022,143.0,25.9,38.94,65.69,0.11
4/29/2022,76.0,25.61,39.28,62.94,0.24
4/30/2022,66.0,26.33,37.46,64.75,2.34
5/1/2022,68.0,25.17,38.26,59.0,0.48
5/2/2022,54.0,26.01,37.59,61.0,3.21
5/3/2022,71.0,25.48,34.98,70.75,12.02
5/4/2022,86.0,24.35,32.44,76.19,15.73
5/5/2022,72.0,25.62,33.44,71.75,6.75
5/6/2022,103.0,24.55,34.52,71.0,11.72
5/7/2022,92.0,25.3,35.9,64.12,2.61
5/8/2022,71.0,25.19,36.59,63.94,2.49
5/9/2022,77.0,25.8,33.2,75.31,10.41
5/10/2022,81.0,25.27,31.81,82.88,16.37
5/11/2022,93.0,25.77,32.58,84.06,31.95
5/12/2022,80.0,26.51,33.58,81.5,13.84
5/13/2022,78.0,26.44,32.96,84.38,30.95
5/14/2022,56.0,26.44,34.56,82.44,9.73
5/15/2022,90.0,27.15,33.82,81.94,0.58
5/16/2022,87.0,27.16,32.13,85.44,0.95
5/17/2022,107.0,26.94,31.27,87.38,5.08
5/18/2022,117.0,26.57,30.85,84.56,4.74
5/19/2022,80.0,26.96,33.84,83.0,10.7
5/20/2022,88.0,26.69,32.57,84.62,26.55
5/21/2022,81.0,26.18,30.37,91.31,61.63
5/22/2022,53.0,25.31,32.27,82.75,10.22
5/23/2022,66.0,25.51,32.58,82.25,9.3
5/24/2022,77.0,24.66,33.51,78.38,3.25
5/25/2022,77.0,26.22,31.91,82.56,11.49
5/26/2022,67.0,25.34,32.3,80.56,18.28
5/27/2022,110.0,25.94,32.87,81.5,13.26
5/28/2022,72.0,25.54,33.47,81.0,10.21
5/29/2022,57.0,26.05,30.98,87.56,38.67
5/30/2022,70.0,25.98,30.5,88.0,26.34
5/31/2022,44.0,25.61,31.66,85.56,9.2
6/1/2022,46.0,26.05,31.78,87.19,6.34
6/2/2022,17.0,26.12,32.33,84.0,3.01
6/3/2022,23.0,26.68,31.04,88.75,6.64
6/4/2022,40.0,26.16,30.58,87.62,14.58
6/5/2022,38.0,26.17,31.87,86.88,5.06
6/6/2022,35.0,26.33,31.9,87.06,2.57
6/7/2022,55.0,26.11,32.56,85.62,5.58
6/8/2022,58.0,27.1,31.58,87.94,12.94
6/9/2022,13.0,27.05,30.66,91.5,32.43
6/10/2022,29.0,26.17,29.76,86.62,41.19
6/11/2022,34.0,25.91,31.58,88.06,1.27
6/12/2022,60.0,26.7,31.84,88.56,0.34
6/13/2022,23.0,27.0,32.29,88.75,4.44
6/14/2022,53.0,27.14,31.47,90.56,7.25
6/15/2022,48.0,26.99,29.92,91.62,8.5
6/16/2022,57.0,25.96,29.21,91.94,16.48
6/17/2022,46.0,26.08,29.16,93.5,39.99
6/18/2022,52.0,26.17,29.07,91.0,32.39
6/19/2022,31.0,25.98,28.46,92.69,22.87
6/20/2022,41.0,25.88,28.83,92.31,24.0
6/21/2022,46.0,25.48,28.74,92.12,24.88
6/22/2022,53.0,25.55,30.6,87.06,5.67
6/23/2022,23.0,25.04,31.4,89.0,8.33
6/24/2022,44.0,26.23,30.15,90.69,3.5
6/25/2022,64.0,25.68,31.5,88.56,3.6
6/26/2022,73.0,25.9,30.45,89.38,3.18
6/27/2022,73.0,25.61,31.51,87.62,3.09
6/28/2022,48.0,26.18,31.12,89.56,6.21
6/29/2022,33.0,26.16,30.37,90.25,9.04
6/30/2022,37.0,26.3,29.6,92.19,12.43
7/1/2022,42.0,26.2,31.63,89.44,4.99
7/2/2022,52.0,26.14,31.16,88.62,4.47
7/3/2022,29.0,25.95,31.09,90.0,7.27
7/4/2022,44.0,25.87,31.75,89.19,9.62
7/5/2022,36.0,25.62,31.86,87.62,0.79
7/6/2022,39.0,26.57,29.75,91.69,17.13
7/7/2022,7.0,25.75,31.01,88.31,4.38
7/8/2022,14.0,25.99,30.9,89.38,3.26
7/9/2022,18.0,25.45,31.68,86.81,0.86
7/10/2022,11.0,25.72,32.02,88.06,1.81
7/11/2022,39.0,25.92,30.38,89.0,2.39
7/12/2022,34.0,25.87,31.96,86.81,1.46
7/13/2022,42.0,26.48,32.02,87.12,1.22
7/14/2022,50.0,26.58,31.79,89.0,3.05
7/15/2022,57.0,26.6,32.14,87.12,6.6
7/16/2022,49.0,26.51,32.54,87.0,1.95
7/17/2022,50.0,26.65,32.43,87.31,2.69
7/18/2022,74.0,26.0,32.42,86.62,2.64
7/19/2022,57.0,26.48,31.52,88.31,5.11
7/20/2022,58.0,26.43,31.45,89.5,14.0
